premise_name,premise_city,premise_address1,premise_address2,premise_zip,premi se_state,premise_phone,geolocation
CARE HEALTH SERVICES I,DURHAM,502 HUGO STREET,,27704,NC,(919) 220-9084,36.025338; -78.886949
MAX'S PLACE AT ARNETTE,DURHAM,1202 ARNETTE AVENUE,,27707,NC,(919) 688-9703,35.989074; -78.914674
MELBOURNE STREET GROUP HOME,DURHAM,311 MELBOURNE STREET,,27703,NC,(919) 489-0682,35.993491; -78.853173
"MICHAEL'S PLACE, INC",DURHAM,2815 CASCADILLA STREET,,27704,NC,(919) 590-8322,36.026722; -78.8860152
HARRIS TEETER 254 PRODUCE,DURHAM,1501 HORTON ROAD,,27705,NC,(919) 471-1938,36.0563065; -78.930937
SUBWAY 36194,DURHAM,1525 GLENN SCHOOL ROAD,,27704,NC,(919) 680-0238,36.0281928; -78.8438163
HEALTHY START ACADEMY,DURHAM,807 W. CHAPEL HILL STREET,,27701,NC,(919) 956-5599,35.9964768; -78.9136889
FAITH COMMUNITY,DURHAM,4903 ROXBORO RD.,,27704,NC,,36.065366; -78.90693
TRAINING FOR SUCCESS,DURHAM,916 LAMOND ST.,,27701,NC,,36.0022654; -78.908876
NORTHSIDE BAPTIST,DURHAM,1239 BERKELEY ST.,,27705,NC,,36.019514; -78.915717
WILSON HOUSE,DURHAM,1711 W. LAKEWOOD AVE.,,27707,NC,(919) 381-9760,35.9864014; -78.9240294
TRINITY COMMONS SPA,DURHAM,2530 ERWIN RD,,27705,NC,,36.0093139; -78.9433923
DANG GOOD DOGS,DURHAM,ESSER'S COMMISSARY 607 ELLIS RD,,27704,NC,(919) 283-2640,35.9708168; -78.8667609
MT CALVARY LIGHTHOUSE,DURHAM,500 NORTH DRIVER ST,,27703,NC,,35.9906172; -78.878159
TRINITY COMMONS OUTDOOR POOL,DURHAM,2530 ERWIN ROAD,,27705,NC,,36.0093139; -78.9433923
LAQUINTA INN POOL,DURHAM,4414 CHAPEL HILL BLVD,,27707,NC,,35.9454822; -78.9724505
TOMMY'S MINI MART,DURHAM,1805 S MIAMI BLVD,,27703,NC,(919) 596-8936,35.9450873; -78.8377128
CHELSEA CAFE,DURHAM,1007 SLATER ROAD,,27703,NC,(919) 474-8647,35.8787835; -78.8456172
ARBY'S,DURHAM,2115 AVONDALE DR,,27704,NC,(919) 220-3206,36.0161413; -78.8894502
COSTCO  FOOD COURT 249,DURHAM,1510 NORTH POINTE DRIVE,,27705,NC,(919) 220-2770,36.0291871; -78.913978
BIO MERIEUX,DURHAM,1101 HAMLIN RD,,27704,NC,(919) 620-2000,36.0525967; -78.8686955
KFC,DURHAM,806 FAYETTEVILLE ST,,27701,NC,(919) 572-9132,35.9855397; -78.8993827
SHERATON IMPERIAL,MORRISVILLE,4700 EMPEROR DR,,27560,NC,,35.8779479; -78.8384012
CRESTWOOD SUITES,DURHAM,300 MEREDITH DR,,27713,NC,,35.900175; -78.899324
TOLEDO'S II MARKET,DURHAM,2223 NC HWY 54 SUITE F & G,,27713,NC,(919) 405-4240,35.910106; -78.986231
SYMPATHY FOR THE DELI DC #84,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 360-6369,35.9965963; -78.9158568
MAC-UR-RONI,DURHAM,3726 MAYFAIR ST.,WILL AND POPS,27707,NC,(843) 465-1585,35.968657; -78.953113
TACO BELL,DURHAM,6910 FAYETTEVILLE ROAD STE2310,,27713,NC,(919) 237-3298,35.9034513; -78.9431065
ULTIMATE FAMILY CARE HOME,DURHAM,234 SEVEN OAKS RD,,27704,NC,(919) 464-4345,36.066541; -78.903012
NORTH POINTE APTS,DURHAM,2335 BROAD STREET,,27704,NC,,36.0315413; -78.9124602
THE PICKETT HOUSE FAMILY CARE HOME,DURHAM,3811 PICKETT ROAD,,27705,NC,(919) 403-0390,35.975216; -78.9888239
HARRIS TEETER 224 PRODUCE,DURHAM,1125 WEST NC 54 HGWY SUITE 310,,27707,NC,(919) 403-0794,35.9174972; -78.9583786
BUY QUICK FOOD MART,DURHAM,419 S. BRIGGS AVE.,,27703,NC,(919) 596-8380,35.9811503; -78.8747011
GOLDEN KRUST,DURHAM,3600 NORTH DUKE STREET,,27704,NC,(919) 740-5682,36.0495727; -78.9046188
PEARSONTOWN SCHOOL LUNCHROOM,DURHAM,4915 BARBEE ROAD,.,27713,NC,(919) 560-3964,35.9316295; -78.9082959
LINA'S CAFE,DURHAM,5400 S. MIAMI BLVD. #136,,27703,NC,(919) 419-1896,35.8822361; -78.8511586
PIE PUSHERS,DURHAM,117A  W MAIN ST,,27701,NC,(919) 294-8408,35.9952544; -78.9015007
TACO BELL,DURHAM,2101 E HWY 54,,27713,NC,(919) 544-7954,35.9028395; -78.8946745
PIZZA HUT,DURHAM,2105 SHERRON RD,,27703,NC,(919) 598-0300,35.9502924; -78.8364258
MAGGIANO'S LITTLE ITALY,DURHAM,8030 RENAISSANCE PARKWAY,,27713,NC,(980) 322-6174,35.9048455; -78.9448592
DUKE MOTOR LODGE,DURHAM,4144 DURHAM/CHAPEL HILL BLVD,,27707,NC,,35.9698235; -78.9611158
COLONIAL APTS,DURHAM,2920 CHAPEL HILL RD,,27707,NC,,35.9706393; -78.9407908
CROASDAILE CROSSINGS,DURHAM,2106 FRONT,,27705,NC,,36.0359911; -78.9387615
DUKE HOSPITAL-NORTH CAFE,DURHAM,DUKE MEDICAL CENTER (ERWIN RD),BOX 3713,27710,NC,(919) 544-1587,36.0070978; -78.9371233
PARK PLACE REC ASSN,DURHAM,604 KENDALL DRIVE,,27703,NC,,35.9696802; -78.839629
BARNES AND NOBLE   #2631,DURHAM,5400 NEW HOPE COMMONS DRIVE,,27707,NC,(919) 489-3012,35.954664; -78.995079
EXTENDED STAY AMERICA #201,DURHAM,3105 TOWER BOULEVARD,,27707,NC,(919) 489-8444,35.971894; -78.9575429
WINGATE INN,DURHAM,5223 PAGE ROAD,,27703,NC,(919) 941-2854,35.8798244; -78.8446277
SUCCESS MARTIAL ARTS,DURHAM,4711 HOPE VALLEY RD. SUITE 5C,,27707,NC,,35.9207272; -78.9573299
TACOS CALY MFU #2,DURHAM,CHINO LATINO 2900 HOLLOWAY ST.,,27703,NC,(919) 697-0904,
STUDIO PLUS,DURHAM,2504 HWY 54,,27713,NC,,35.9001347; -78.8864859
COURTYARD BY MARRIOTT,DURHAM,301 RESIDENCE INN BLVD,,27713,NC,,35.9047256; -78.8958006
NOODLES & COMPANY,DURHAM,2608 ERWIN ROAD SUITE 152,,27705,NC,(919) 383-5600,36.0093049; -78.9448625
OVAL PARK GRILLE,DURHAM,1116 BROAD ST SUITE 100,,27705,NC,(919) 608-9577,36.0165031; -78.9188891
BEECH LAKE APARTMENTS,DURHAM,4800 UNIVERSITY DR,,27707,NC,,35.9550718; -78.9689036
SANDERS CAFÉ AT GSK RTP,DURHAM,5 MOORE DRIVE,,27709,NC,(919) 483-8760,35.9274466; -78.8617222
KING'S SANDWICH SHOP,DURHAM,701 FOSTER ST,,27701,NC,(919) 682-0071,36.0039334; -78.9016167
JOSEPH M. BUSHFAN DBA JOE'S BIG DOGS DC #24,DURHAM,2100 ANGIER AVE JOE’S DINER,,27703,NC,(919) 505-3592,35.9819333; -78.8777813
MOORE'S HOUSE,DURHAM,3108 DEARBORN DRIVE,,27704,NC,(919) 632-9219,36.0373702; -78.8708472
TOBACCO ROAD SPORTS CAFE,DURHAM,280 S MANGUM ST SUITE 100,,27701,NC,(919) 937-9909,35.9916865; -78.9038548
SPRINGHILL SUITES WEST POOL,DURHAM,5310 MCFARLAND,,27707,NC,(919) 403-1111,35.951881; -78.9919867
SPRING VALLEY ELEMENTARY SCHOOL LUNCHROOM,DURHAM,2051 NORTHERN DURHAM PARKWAY,,27703,NC,(919) 560-2890,35.9559246; -78.8147675
SANSUI,DURHAM,4325 HWY 55,,27713,NC,(919) 361-8078,35.9118435; -78.8925883
PRUITT HEALTH DURHAM IFS,DURHAM,3100 ERWIN ROAD,,27705,NC,(919) 383-1546,36.0043053; -78.9508168
ESSER'S COMMISSARY,DURHAM,607 ELLIS RD UNIT 56,,27704,NC,(919) 283-2641,35.9708359; -78.8668419
CHUCK E CHEESE,DURHAM,3724 MAY FAIR STREET,,27707,NC,(919) 493-6084,35.9688734; -78.9523372
DURHAM EXCHANGE CLUB CAFETERIA,DURHAM,1717 LAWSON STREET,,27703,NC,(919) 596-1341,35.975221; -78.8777768
BOJANGLES #4,DURHAM,4831 APEX HIGHWAY,,27713,NC,(919) 544-7887,35.8999267; -78.8963297
THE MAD HATTER,DURHAM,1802 WEST MAIN ST,,27705,NC,(919) 286-1987,36.0063275; -78.9201554
DOUBLETREE BY HILTON RTP FOODSERVICE,DURHAM,4810 PAGE CREEK LANE,,27703,NC,(919) 941-6000,35.8842134; -78.8439768
KROGER  R 331 DELI,DURHAM,202 N C HWY 54,,27713,NC,(919) 361-9893,35.9125482; -78.9363925
RUDINO'S,DURHAM,1515 NORTH POINTE DR,SUITE 108,27705,NC,(919) 220-2002,36.026883; -78.9159345
NEW CHINA,CHAPEL HILL,6118 FARRINGTON RD,SUITE G,27514,NC,(919) 403-1889,35.9108187; -78.9836924
GREEK CUISINE,DURHAM,1058 W CLUB BLVD 556,,27701,NC,(919) 416-6626,36.018111; -78.9102149
CHANGING LIVES RESIDENTIAL CARE,DURHAM,111 N. GUTHRIE AVE,,27703,NC,(919) 451-7856,35.9866673; -78.8765257
M & M FOOD MART,DURHAM,2128 ANGIER AVE,,27703,NC,(919) 596-5788,35.9812077; -78.8765992
INDIA GATE,DURHAM,2223 E NC 54 SUITE Q,,27713,NC,(919) 248-9333,35.9014906; -78.8915172
CARILLON ASSISTED LIVING OF DURHAM IFS,DURHAM,4713 GARRETT RD,,27707,NC,(919) 401-1101,35.9545806; -78.9710549
VICTORIOUS DAY CARE/PRESCHOOL,DURHAM,2416 PAGE RD,,27703,NC,(919) 957-0144,35.9206022; -78.8130438
HILLANDALE SAC CLUB,DURHAM,2730 HILLANDALE ROAD,,27705,NC,(919) 560-3924,36.052487; -78.932664
LAKEWOOD SAC CLUB,DURHAM,2520 VESSAN AVE,,27707,NC,(919) 560-3939,35.9830841; -78.9357817
RIVERSIDE,DURHAM,3218 ROSE OF SHARON RD,,27712,NC,(919) 560-3965,36.065495; -78.943225
DUKE FACULTY CLUB - WADING,DURHAM,CAMERON BLVD @ SCIENCE DR,,27708,NC,,35.9950162; -78.947039
HOMESTEAD HEIGHTS SWIM AND TENNIS,DURHAM,836 HORTON RD,,27704,NC,,36.0536287; -78.9108317
BROAD STREET CHILDREN'S COTTAGE,DURHAM,1413 BROAD ST,,27705,NC,(919) 416-4707,36.021565; -78.919255
THE HOUSE RESTAURANT & CATERING,DURHAM,4310 S MIAMI BLVD,,27703,NC,(919) 544-3232,35.8987439; -78.8503645
BAMBOO HOUSE,DURHAM,3600 N DUKE ST SUITE 4,,27704,NC,(919) 477-0078,36.0495727; -78.9046188
DURHAM NURSING AND REHABILITATION CENTER,DURHAM,411 SOUTH LASALLE STREET,,27705,NC,(919) 383-5521,36.0133212; -78.9479956
J & C'S CATERING AND CONCESSIONS,DURHAM,4310 S. MIAMI BLVD THE HOUSE RESTAURANT,,27713,NC,(919) 740-3748,35.898905; -78.850691
EASLEY ELEMENTARY SCHOOL,DURHAM,302 LEBANON CIRCLE,,27712,NC,(919) 560-3913,36.0757106; -78.9268072
MT ZION CHURCH LUNCHROOM,DURHAM,3519 FAYETTEVILLE STREET,,27707,NC,,35.9563817; -78.9066987
MARRIOTT AT RTP,DURHAM,4700 GUARDIAN DRIVE,,27703,NC,(919) 941-6229,35.892504; -78.8465931
HOLIDAY INN EXPRESS,DURHAM,2516 GUESS RD,,27705,NC,(919) 313-3245,36.0275026; -78.9239574
ROY'S KOUNTRY KITCHEN,DURHAM,2514 FAYETTEVILLE STREET,,27707,NC,(919) 682-0939,35.9689072; -78.9030878
HOLIDAY INN EXPRESS,DURHAM,4912 S MIAMI BLVD,,27703,NC,(919) 474-9800,35.8866407; -78.8497325
CARING HANDS (BASSET HALL),DURHAM,103 BASSETT HALL DR,,27713,NC,(919) 479-8606,
OAK GROVE ELEMENTARY SCHOOL PRE K,DURHAM,3810 WAKE FOREST RD,,27703,NC,(919) 560-3960,35.979946; -78.819459
SALT BOX,DURHAM,608 N MANGUM ST,,27701,NC,(919) 908-8970,35.9999875; -78.8961667
NOSH @ JO RAE CAFE,DURHAM,8 SEARLE CENTER DR,,27710,NC,(919) 613-1750,36.0054672; -78.9380574
WYTHA BALANCE,DURHAM,107 N. DRIVER ST.,,27703,NC,(919) 423-8844,35.9862546; -78.8781112
RED MANGO,DURHAM,125 SCIENCE DRIVE  BRYAN CENTER,,27708,NC,(919) 660-0995,36.0010549; -78.9410783
SMASHBURGER,DURHAM,2608 ERWIN ROAD SUITE 116,,27701,NC,(919) 237-1070,36.0093049; -78.9448625
MCCAIN'S FOOD MANAGEMENT,DURHAM,4310 S MIAMI BLVD THE HOUSE RESTAURANT,,27713,NC,(919) 744-7300,35.898905; -78.850691
"FAITH HOMES & HABILITATION III, LLC",DURHAM,4014 SUITT ST,,27703,NC,(919) 961-1757,36.0159615; -78.8026518
INDEPENDENCE PARK APTS,DURHAM,215 WILLIAM PENN PLAZA,,27704,NC,,36.0442677; -78.8967802
PUPUSERIA TAQUERIA AMIGOS,DURHAM,2104 ANGIER AVE JOE’S COMMISSARY,,27703,NC,(919) 723-0242,35.9819333; -78.8777813
OXFORD MANOR,DURHAM,3633 KEYSTONE PLACE,,27704,NC,(919) 663-8596,36.0403831; -78.8857515
BAR VIRGILE,DURHAM,105 S MANGUM STRRET SUITE 100,,27701,NC,(919) 973-3000,35.9946635; -78.9007481
SKY ZONE,DURHAM,1720 GUESS RD SUITE 90,,27701,NC,(919) 425-0800,36.0195627; -78.9101242
TENDER MERCIES INC.,DURHAM,916 CLAYTON ROADS,,27703,NC,(919) 224-7676,36.0038; -78.835682
KEYWEST CENTER,DURHAM,1722 ATHENS DRIVE,,27707,NC,(919) 682-9392,35.9677249; -78.8912383
QUALITY MART #34,DURHAM,5203 S MIAMI BLVD,,27703,NC,(919) 941-1965,35.8830655; -78.8494674
TORERO'S,DURHAM,800 W MAIN ST,,27701,NC,(919) 682-4197,35.9996792; -78.9082786
COUNTRY JUNCTION,DURHAM,4823 APEX HIGHWAY,,27713,NC,(919) 544-6012,35.9001186; -78.896269
CHARLEY'S PHILLY STEAKS,DURHAM,"6910 FAYETTEVILLE RD, SUITE 2285",,27713,NC,(704) 491-4146,35.9034513; -78.9431065
"THE RENAISSANCE EDUCATION GROUP, INC",DURHAM,517 TODD ST,,27704,NC,(919) 416-1736,36.0529698; -78.899552
SPRING  VALLEY LIVING  #2,DURHAM,2 JUA VALLEY RD,,27707,NC,(919) 824-9849,35.9832888; -78.9243068
VIT GOAL TOFU RESTAURANT,DURHAM,2107 ALLENDOWN DR #101A,,27713,NC,(919) 361-9100,35.8987199; -78.8952775
VICTORY RESIDENTAL SERVICES,DURHAM,2801 SHOREHAM ST,,27707,NC,,35.9680871; -78.9245618
TOMMY'S MINI MART,DURHAM,1832 COLE MILL ROAD,,27712,NC,(919) 383-3084,36.043797; -78.9633932
NORTH CAROLINA SPECIALTY HOSP,DURHAM,3916 BEN FRANKLIN BLVD,,27704,NC,(919) 595-8448,36.042904; -78.896895
LAKEWOOD LUNCHROOM,DURHAM,2520 VESSEN AVE,,27707,NC,(919) 493-5882,35.9830841; -78.9357817
NEAL SCHOOL LUNCHROOM,DURHAM,201 BAPTIST RD,,27703,NC,(919) 560-3955,35.9784469; -78.7825681
SALADELIA,DURHAM,4201 UNIVERSITY DRIVE,,27707,NC,(919) 489-5776,35.9647847; -78.9572917
HOPE VALLEY LUNCHROOM,DURHAM,3005 DIXON RD,,27707,NC,(919) 560-3980,35.9670939; -78.9398339
SPRING ARBOR IFS,DURHAM,4523 HOPE VALLEY RD,,27707,NC,(919) 403-0655,35.925738; -78.953569
COURTYARD BY MARRIOTT,DURHAM,301 RESIDENCE INN BLVD,,27713,NC,(919) 484-7900,35.9047256; -78.8958006
UNIVERSITY INN,DURHAM,502 ELF ST,,27705,NC,(919) 286-3817,36.0096108; -78.9360172
E K POWE SCHOOL,DURHAM,913 NINTH ST,,27705,NC,(919) 560-3963,36.012948; -78.922488
SOUTHERN HIGH SCHOOL,DURHAM,800 CLAYTON RD,,27703,NC,(919) 560-3968,36.0000791; -78.829234
YOUTH DETENTION HOME,DURHAM,2432 BROAD ST,,27701,NC,(919) 560-0840,36.0325559; -78.910918
BEECHLAKE APTS,DURHAM,4800 UNIVERSITY DR,,27707,NC,,35.9550718; -78.9689036
CAMP RIVERLEA,BAHAMA,8302 SOUTH LOWELL RD,,27503,NC,,36.1477343; -78.946959
EASLEY ELEM SCHOOL,DURHAM,302 LEBANON CIRCLE,,27712,NC,(919) 560-3913,36.0757106; -78.9268072
JORDAN HIGH SCHOOL,DURHAM,6806 GARRETT RD,,27707,NC,(919) 560-3912,35.9232466; -78.9620817
FIRST CHRONICLES DAY CARE CTR,DURHAM,712 LINWOOD AVE,,27701,NC,(919) 688-7014,35.9805859; -78.8960665
HOLT SCHOOL,DURHAM,4019 HOLT SCHOOL RD,,27704,NC,(919) 560-3928,36.0564469; -78.9074309
"SECURING RESOURCES FOR CONSUMERS, INC.",DURHAM,10 MEADOW CREST DR.,,27703,NC,(919) 294-6248,36.0011345; -78.8333533
HOTEL INDIGO,DURHAM,151 TATUM DRIVE,,27703,NC,(919) 474-3000,35.8850437; -78.8453806
SOUL COCINA LLC,DURHAM,4310 S. MIAMI BLVD THE HOUSE,,27703,NC,(919) 794-7719,35.8987439; -78.8503645
DAME'S EXPRESS,DURHAM,1917 YEARBY DR,,27705,NC,(919) 348-6834,36.0041596; -78.9290174
JOHN WAYNE'S CATERING,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 346-7010,35.9965963; -78.9158568
WILL AND POPS COMMISSARY,DURHAM,3726 MAYFAIR ST,,27707,NC,(919) 943-7074,35.968657; -78.953113
TASTEFULLY SERVED,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(704) 942-6639,35.9965963; -78.9158568
HOMEWOOD SUITES LODGING,DURHAM,3600 MT MORIAH RD,,27707,NC,(919) 401-0610,35.9497355; -78.9955234
BOTTLE 501,DURHAM,3219 WATKINS ROAD,,27707,NC,(919) 402-1501,35.9530728; -78.99205
STARBUCKS COFFEE CO,DURHAM,4010 CHAPEL HILL BLVD SUITE 100,,27707,NC,(919) 886-0837,35.9694444; -78.9586634
HAPPY + HALE,DURHAM,703 B NINTH ST.,,27705,NC,,36.0079752; -78.9223061
SOLIS NINTH STREET APARTMENTS,DURHAM,810 NINTH STREET,,27705,NC,,36.0113259; -78.921581
AVELLAN SPRINGS APARTMENTS,MORRISVILLE,4551 CROWN PARKWAY,,27560,NC,,35.8873549; -78.8295279
QUALITY LIFE ENRICHMENT,DURHAM,1804 MLK HWY,,27707,NC,,
DOUG'S DOGS AND MORE,DURHAM,607 ELLIS ROAD,,27704,NC,(860) 625-6029,35.9708359; -78.8668419
MORTAR AND GRIND CATERING,DURHAM,1101 CHAPEL HILL ST,,27701,NC,(919) 593-2107,35.9965963; -78.9158568
JERSEY MIKE'S SUBS,CHAPEL HILL,6118 FARRINGTON ROAD SUITE C,,27517,NC,(919) 908-7641,35.9096536; -78.9851382
"CHEF PARIS,LLC",DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 667-4843,35.9965963; -78.9158568
BRUNELLO,DURHAM,117 E MAIN ST,,27701,NC,(571) 276-9362,35.994841; -78.89987
RUSSELL'S FAMOUS HOT DOGS,DURHAM,607 ELLIS RD ESSER'S COMMISSARY,,27704,NC,(252) 599-2010,35.9708168; -78.8667609
CILANTRO ARTISAN FOODS,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 641-1286,35.9965963; -78.9158568
PLATILLOS LA BENDICCION,DURHAM,821 N MIAMI BLVD,,27707,NC,(919) 434-8038,35.990345; -78.8675109
DOGSTAR TATTOO COMPANY,DURHAM,807 E MAIN STREET,,27701,NC,(336) 534-3083,35.9908126; -78.8902944
BAYER CROP SCIENCE SODEXO,RTP,2 T W ALEXANDER DR,,27709,NC,(919) 549-3498,35.9261083; -78.8555425
BRIGS AT THE PARK,DURHAM,4900  NC 55,SUITE 520,27713,NC,(919) 544-7473,35.8992247; -78.8985816
FAITH ASSEMBLY CHRISTIAN CCC,DURHAM,3120 FAYETTEVILLE ST,,27707,NC,(919) 687-2763,35.9629837; -78.9094238
CHILDCARE NETWORK,DURHAM,115 RIPPLING STREAM,,27704,NC,(919) 620-1569,36.0716224; -78.9073732
PETTIGREW REHBILITATION CENTER,DURHAM,1515 WEST PETTIGREW ST,,27705,NC,(919) 286-0751,36.0052163; -78.9215119
COOK OUT,DURHAM,3119 SHANNON ROAD,,27707,NC,(919) 864-8634,35.9668749; -78.9550821
MCDOUGALD TERRACE HEAD START,DURHAM,1101 E LAWSON STREET,,27702,NC,(919) 598-1910,35.9744755; -78.890838
WALLTOWN NEIGHBORHOOD CAMPUS,DURHAM,1308 WEST CLUB BOULEVARD,,27705,NC,(919) 560-4296,36.0176386; -78.9141263
HOPE ELEMENTARY,DURHAM,3005 DIXON RD,,27707,NC,(919) 560-3934,35.9670939; -78.9398339
VICTORIOUS PRAISE,DURHAM,2116 PAGE RD,,27703,NC,(919) 951-7500,35.9294031; -78.8146021
CUT BAIT CAFE,DURHAM,607 ELLIS ROAD,,27704,NC,(919) 397-4970,35.9708359; -78.8668419
MONIQUE'S SOUTHERN STYLE CATERING,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 949-1575,35.9965963; -78.9158568
JAKE'S WAYBACK BURGERS,DURHAM,4104 SURLES CT#2,,27703,NC,(919) 474-9922,35.868452; -78.8497368
CATRACHO EXPRESS,DURHAM,THE HOUSE RESTAURANT 4310 S MIAMI BLVD,,27703,NC,(919) 949-7863,35.898905; -78.850691
DUKE UNIVERSITY WEST UNION,DURHAM,406 CHAPEL DRIVE,PO BOX 90898,27708,NC,(919) 660-3900,36.001517; -78.9391734
DUKE UNIVERSITY WEST UNION TANDOOR,DURHAM,406 CHAPEL DRIVE,PO BOX 90898,27708,NC,(919) 660-3900,36.001517; -78.9391734
WICKED SHOTZ CONSORTIUM,DURHAM,609 WILLIAM VICKER,,27701,NC,(919) 685-0604,35.996248; -78.911559
SWEETIES SOUTHERN &VEGAN CATERING,DURHAM,1101 W CHAPEL HILL ST,,27701,NC,(919) 428-9925,35.9965963; -78.9158568
HOG HEAVEN,DURHAM,2419 GUESS RD,,27705,NC,(919) 251-9451,36.026575; -78.9228259
HARRIS TEETER  172 PRODUCE,DURHAM,1817 MARTIN LUTHER KING JR P,,27707,NC,(919) 489-9887,35.9595693; -78.9592204
FOOD LION LLC DELI  #274,DURHAM,4711 HOPE VALLEY RD,,27707,NC,(919) 493-2352,35.9207272; -78.9573299
ACADEMY QUICK STOP,DURHAM,3006 ACADEMY DRIVE,,27707,NC,(919) 489-2089,35.9709813; -78.9435348
EL CUSCATLECO,DURHAM,4212 GARRETT ROAD,,27707,NC,(919) 401-5245,35.960184; -78.9765042
AMERICAN HERO,DURHAM,2011 N ROXBORO ST,,27704,NC,(919) 220-9645,36.0172036; -78.8903874
HOME PLATE RESTAURANT,DURHAM,3327 WAKE FOREST HWY,,27703,NC,(919) 483-2777,35.9838948; -78.8315137
FOOD LION MEAT MARKET  2593,DURHAM,3022 FAYETTEVILLE ST,,27707,NC,(919) 682-6242,35.9632745; -78.9077115
DON BECERRA'S MEAT MARKET,DURHAM,2301 N ROXBORO RD,,27704,NC,(919) 220-0525,36.0199791; -78.8903398
